team,salary,player,position,season
Los Angeles Lakers,8089282,Kentavious Caldwell-Pope, SG,2019-2020
Washington Wizards,8000000,Thomas Bryant, C,2019-2020
New York Knicks,8000000,Elfrid Payton, PG,2019-2020
New York Knicks,8000000,Wayne Ellington, SG,2019-2020
LA Clippers,8000000,Lou Williams, SG,2019-2020
Dallas Mavericks,8000000,Maxi Kleber, PF,2019-2020
New York Knicks,7839960,RJ Barrett, SG,2019-2020
Boston Celtics,7830000,Jayson Tatum, PF,2019-2020
Memphis Grizzlies,7815533,Jae Crowder, SF,2019-2020
Dallas Mavericks,7683360,Luka Doncic, SG,2019-2020
Brooklyn Nets,7666667,Joe Harris, SF,2019-2020
Phoenix Suns,7464912,Darrell Arthur, F,2019-2020
Dallas Mavericks,7461380,Seth Curry, SG,2019-2020
Indiana Pacers,7333333,Doug McDermott, SF,2019-2020
Detroit Pistons,7333333,Langston Galloway, SG,2019-2020
Detroit Pistons,7317073,Derrick Rose, PG,2019-2020
New Orleans Pelicans,7265485,Brandon Ingram, SF,2019-2020
Orlando Magic,7250000,D.J. Augustin, PG,2019-2020
Brooklyn Nets,7119650,Lance Thomas, SF,2019-2020
Atlanta Hawks,7068360,De'Andre Hunter, SF,2019-2020
Memphis Grizzlies,7059480,Josh Jackson, SG,2019-2020
Washington Wizards,7000000,Davis Bertans, SF,2019-2020
Milwaukee Bucks,7000000,Ersan Ilyasova, PF,2019-2020
New Orleans Pelicans,7000000,Darius Miller, SF,2019-2020
Memphis Grizzlies,6927480,Jaren Jackson Jr., PF,2019-2020
Sacramento Kings,6825000,Nemanja Bjelica, PF,2019-2020
Boston Celtics,6534829,Jaylen Brown, SG,2019-2020
Sacramento Kings,6500000,Jabari Parker, PF,2019-2020
LA Clippers,6481482,Ivica Zubac, C,2019-2020
Cleveland Cavaliers,6400920,Darius Garland, PG,2019-2020
Sacramento Kings,6392760,De'Aaron Fox, PG,2019-2020
LA Clippers,6300000,Milos Teodosic, G,2019-2020
Atlanta Hawks,6273000,Trae Young, PG,2019-2020
Washington Wizards,6134520,Wesley Johnson, F,2019-2020
Washington Wizards,6000000,Ish Smith, PG,2019-2020
LA Clippers,6000000,Montrezl Harrell, PF,2019-2020
San Antonio Spurs,5846154,Marco Belinelli, SG,2019-2020
Minnesota Timberwolves,5813640,Jarrett Culver, SG,2019-2020
Orlando Magic,5806440,Jonathan Isaac, PF,2019-2020
Portland Trail Blazers,5718000,Rodney Hood, SF,2019-2020
Washington Wizards,5700000,Jonathon Simmons, G,2019-2020
Orlando Magic,5697600,Mo Bamba, C,2019-2020
San Antonio Spurs,5500000,Trey Lyles, C,2019-2020
Oklahoma City Thunder,5455236,Alex Abrines, G,2019-2020
Phoenix Suns,5453280,Aron Baynes, C,2019-2020
New Orleans Pelicans,5450000,Jason Smith, F,2019-2020
Chicago Bulls,5348007,Kris Dunn, PG,2019-2020
Chicago Bulls,5307120,Coby White, PG,2019-2020
Chicago Bulls,5300400,Lauri Markkanen, PF,2019-2020
LA Clippers,5285394,Alexis Ajinca, C,2019-2020
Chicago Bulls,5201400,Wendell Carter Jr., C,2019-2020
Dallas Mavericks,5000000,Dirk Nowitzki, F,2019-2020
Boston Celtics,5000000,Daniel Theis, C,2019-2020
Oklahoma City Thunder,4996000,Kyle Singler, F,2019-2020
New Orleans Pelicans,4862040,Jaxson Hayes, C,2019-2020
Sacramento Kings,4861208,Buddy Hield, SG,2019-2020
New York Knicks,4855800,Frank Ntilikina, PG,2019-2020
LA Clippers,4807693,Rodney McGruder, SG,2019-2020
Utah Jazz,4767000,Ed Davis, C,2019-2020
Sacramento Kings,4767000,Richaun Holmes, C,2019-2020
Phoenix Suns,4767000,Frank Kaminsky, C,2019-2020
Philadelphia 76ers,4767000,Mike Scott, PF,2019-2020
Brooklyn Nets,4767000,Garrett Temple, SG,2019-2020
Milwaukee Bucks,4767000,Robin Lopez, C,2019-2020
Los Angeles Lakers,4767000,Avery Bradley, PG,2019-2020
LA Clippers,4767000,JaMychal Green, PF,2019-2020
Indiana Pacers,4767000,Justin Holiday, SF,2019-2020
Boston Celtics,4767000,Enes Kanter, C,2019-2020
Cleveland Cavaliers,4764960,Collin Sexton, PG,2019-2020
Washington Wizards,4469160,Rui Hachimura, PF,2019-2020
Golden State Warriors,4464226,Kevon Looney, PF,2019-2020
New York Knicks,4463640,Dennis Smith Jr., PG,2019-2020
Denver Nuggets,4444746,Jamal Murray, PG,2019-2020
New York Knicks,4380120,Kevin Knox II, SF,2019-2020
Houston Rockets,4320500,Luc Mbah a Moute, PF,2019-2020
Atlanta Hawks,4245720,Cam Reddish, SG,2019-2020
Portland Trail Blazers,4240200,Zach Collins, PF,2019-2020
Phoenix Suns,4161000,Mikal Bridges, SF,2019-2020
Sacramento Kings,4160000,Alex Len, C,2019-2020
New Orleans Pelicans,4102564,Nicolo Melli, PF,2019-2020
Phoenix Suns,4033440,Cameron Johnson, SF,2019-2020
Charlotte Hornets,4028400,Malik Monk, SG,2019-2020
Toronto Raptors,4000000,Patrick McCaw, SF,2019-2020
New York Knicks,4000000,Reggie Bullock, SF,2019-2020
Los Angeles Lakers,4000000,JaVale McGee, C,2019-2020
Dallas Mavericks,4000000,Dorian Finney-Smith, SF,2019-2020
Oklahoma City Thunder,3952920,Shai Gilgeous-Alexander, SG,2019-2020
Charlotte Hornets,3831840,PJ Washington, PF,2019-2020
Detroit Pistons,3827160,Luke Kennard, SG,2019-2020
Charlotte Hornets,3755400,Miles Bridges, SF,2019-2020
San Antonio Spurs,3754886,Jakob Poeltl, C,2019-2020
Miami Heat,3640200,Tyler Herro, SG,2019-2020
Utah Jazz,3635760,Donovan Mitchell, SG,2019-2020
Toronto Raptors,3623000,Stanley Johnson, SF,2019-2020
Minnesota Timberwolves,3581986,Jake Layman, SF,2019-2020
Detroit Pistons,3569643,Thon Maker, C,2019-2020
Washington Wizards,3567720,Jerome Robinson, SG,2019-2020
New York Knicks,3551000,Allonzo Trier, G,2019-2020
Houston Rockets,3540000,Danuel House Jr., SF,2019-2020
Indiana Pacers,3529555,Domantas Sabonis, PF,2019-2020
Brooklyn Nets,3500000,Michael Beasley, F,2019-2020
Los Angeles Lakers,3500000,DeMarcus Cousins, C,2019-2020
Indiana Pacers,3500000,T.J. McConnell, PG,2019-2020
Dallas Mavericks,3500000,Boban Marjanovic, C,2019-2020
Phoenix Suns,3481986,Dario Saric, PF,2019-2020
Brooklyn Nets,3481986,Taurean Prince, PF,2019-2020
Boston Celtics,3458400,Romeo Langford, SG,2019-2020
Miami Heat,3454080,Bam Adebayo, PF,2019-2020
Denver Nuggets,3389400,Michael Porter Jr., PF,2019-2020
Chicago Bulls,3377569,Denzel Valentine, SG,2019-2020
Minnesota Timberwolves,3321030,Juan Hernangomez, PF,2019-2020
Detroit Pistons,3285120,Sekou Doumbouya, SF,2019-2020
Dallas Mavericks,3280920,Justin Jackson, SF,2019-2020
Washington Wizards,3219480,Troy Brown Jr., SF,2019-2020
Sacramento Kings,3150000,Yogi Ferrell, PG,2019-2020
Philadelphia 76ers,3058800,Zhaire Smith, SG,2019-2020
Orlando Magic,3000000,Khem Birch, PF,2019-2020
Los Angeles Lakers,3000000,Quinn Cook, PG,2019-2020
Chicago Bulls,3000000,Ryan Arcidiacono, PG,2019-2020
New Orleans Pelicans,2964840,Nickeil Alexander-Walker, SG,2019-2020
